一类动词,,,,,,,,,,,,,
,,太る,胖；增加,太ります,ふとって,ふとらない,ふとった,ふとれ,ふとろう,ふとれば,ふとれる,ふとられる,ふとらせる
,,踏む,踩，踏上；实践，履行,踏みます,ふんで,ふまない,ふんだ,ふめ,ふもう,ふめば,ふめる,ふまれる,ふませる
,,降る,下雨，下雪；下降,降ります,ふって,ふらない,ふった,ふれ,ふろう,ふれば,ふれる,ふられる,ふらせる
,,振る,挥动，摇动；撤,振ります,ふって,ふらない,ふった,ふれ,ふろう,ふれば,ふれる,ふられる,ふらせる
,,減る,减少，磨损；饿,減ります,へって,へらない,へった,ー,ー,へれば,ー,ー,ー
,,ほほえむ,微笑；（花）乍放，初开,ほほえみます,ほほえんで,ほほえまない,ほほえんだ,ほほえめ,ほほえもう,ほほえめば,ほほえめる,ほほえまれる,ほほえませる
,,参る,（自谦）去，来,参ります,まいって,まいらない,まいった,まいれ,まいろう,まいれば,ー,ー,まいらせる


一类动词,,,,,,,,,,,,,
,,曲がる,弯曲；拐弯,曲がります,まがって,まがらない,まがった,まがれ,まがろう,まがれば,まがれる,まがられる,まがらせる
,,巻き込む,卷进，卷入；牵连，连累,巻き込みます,まきこんで,まきこまない,まきこんだ,まきこめ,まきこもう,まきこめば,まきこめる,まきこまれる,まきこませる
,,待つ,等候，等待,待ちます,まって,またない,まった,まて,まとう,まてば,まてる,またれる,またせる
,,間に合う,来得及，赶得上,間に合います,まにあって,まにあわない,まにあった,まにあえ,まにあおう,まにあえば,まにあえる,まにあわれる,まにあわせる
,,守る,防守，保卫；遵守,守ります,まもって,まもらない,まもった,まもれ,まもろう,まもれば,まもれる,まもられる,まもらせる
,,迷う,犹豫，迷惑，迷失,迷います,まよって,まよわない,まよった,まよえ,まよおう,まよえば,まよえる,まよわれる,まよわせる
,,回す,旋转；传递，转送；调转,回します,まわして,まわさない,まわした,まわせ,まわそう,まわせば,まわせる,まわされる,まわさせる
,,回る,转动，灵活，周到,回ります,まわって,まわらない,まわった,まわれ,まわろう,まわれば,まわれる,まわられる,まわらせる
,,磨く,刷，擦；磨练,磨きます,みがいて,みがかない,みがいた,みがけ,みがこう,みがけば,みがける,みがかれる,みがかせる
,,見込む,期待；相信；预料,見込みます,みこんで,みこまない,みこんだ,みこめ,みこもう,みこめば,ｋもこめる,みこまめる,みこませる
,,見つかる,被发现，被看到,見つかります,みつかって,みつからない,みつかった,ー,ー,みつかれば,ー,ー,ー
,,見渡す,张望，远望,見渡します,みわたして,みわたさない,みわたした,みわたせ,みわたそう,みわたせば,みわたせる,みわたされる,みわたさせる
,,向かう,往…去，,向かいます,むかって,むかわない,むかった,むかえ,むかおう,むかえば,むかえる,むかわれる,むかわせる
,,結ぶ,系，结；联结，结合,結びます,むすんで,むすばない,むすんだ,むすべ,むすぼう,むすべば,むすべる,むすばれる,むすばせる
,,召し上がる,请吃，请喝，请吸烟,召し上がります,めしあがって,めしあがらない,めしあがた,めしあがれ,ー,めしあがれば,めしあがれる,めしあがられる,ー
,,申す,（自谦）说，讲，告诉,申します,もうして,もうさない,もうした,もうせ,もうそう,もうせば,ー,ー,ー
,,待ち歩く,拿着走路；搬运,持ち歩きます,もちあるいて,もちあるかない,もちあるいた,みちあるけ,もちあるこう,もちあるけば,もちあるける,もちあるかれる,もちあるかせる
